Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s),Solution(s)
540,2 2 4 10,7.77,94.4%,8.13,2.93,"(10-4)*(2+2), (10-2-2)*4, (10-4)*2*2, (10-2*2)*4, (10+4-2)*2, (10+2)*(4-2), (10+2)*4/2, (4/2+10)*2 "
541,2 8 12 13,7.77,89.7%,8.01,3.58,(13+2-12)*8 
542,5 5 10 11,7.77,87.4%,8.11,3.84,5*5+10-11 
543,6 6 6 9,7.77,89.8%,8.3,4.08,"6*6*6/9, (9-6)*6+6 "
544,1 3 8 12,7.78,96.8%,8.3,2.95,"12+8+3+1, 12*8/(3+1), (12/3-1)*8 "
545,1 2 12 13,7.79,96.4%,8.51,3.44,"13+12+1-2, 2/(13/12-1) "
546,1 2 4 11,7.8,92.3%,8.07,2.85,"(11+1)*(4-2), (11+1)*4/2, (11-1)*2+4 "
547,1 8 9 13,7.8,91.6%,8.23,3.71,(13-9-1)*8 
548,9 11 13 13,7.8,92.4%,8.35,3.32,13+13+9-11 
549,1 2 2 5,7.81,94.7%,8.12,2.87,"(5+1)*(2+2), (5+1)*2*2 "
550,1 3 5 11,7.81,93.2%,8.15,2.92,"(11-5)*(3+1), (11+1)*(5-3) "
551,2 2 2 10,7.81,94%,8.27,3.42,"10*2+2+2, 10*2+2*2 "
552,4 8 12 13,7.81,92.1%,8.44,3.81,"(12+4-13)*8, 12/4+13+8 "
553,2 6 6 11,7.82,82.8%,7.6,3.34,(6/6+11)*2 
554,3 4 9 12,7.82,94.4%,8.28,3.23,"(9-4-3)*12, 9*4/3+12, 9*3-12/4, (12+3-9)*4, (12-4)*9/3, 12*9/4-3, (3-4/12)*9 "
555,3 6 10 12,7.82,93.1%,8.33,3.56,"6/3+12+10, 10*3+6-12, 10*6-12*3, (10*6+12)/3, (12+6-10)*3, (10-6)*3+12, (10-12/6)*3 "
556,1 9 11 11,7.83,90.2%,7.99,3.06,(11+1)*(11-9) 
557,2 4 4 13,7.84,85.5%,7.98,3.65,"(13-4/4)*2, (13*4-4)/2 "
558,2 6 6 13,7.84,84.9%,7.73,3.24,(13-6/6)*2 
559,2 4 5 13,7.85,94.8%,8.41,3.35,"13+5+4+2, (13-5-2)*4, (13+4-5)*2 "
560,4 7 9 10,7.85,91%,8.4,3.76,"10*4-9-7, (9+7-10)*4, (9-7)*10+4 "
561,1 4 10 11,7.87,95.1%,8.33,3.25,11+10+4-1 
562,3 3 4 12,7.87,95.1%,8.5,3.25,"(3+3-4)*12, (12-3-3)*4, 4*3*3-12, 12*3-4*3, (12/3+4)*3 "
563,4 4 7 9,7.87,93.5%,8.26,3.52,"9+7+4+4, (9+4-7)*4 "
564,4 8 10 11,7.87,90.8%,8.22,3.56,(10+4-11)*8 
565,8 9 11 13,7.87,90.4%,8.33,3.79,(13+11)*(9-8) 
566,2 6 8 11,7.88,93.4%,8.36,3.47,"(6+2)*(11-8), (11-6-2)*8, 11*2+8-6, (8-6)*11+2 "
567,3 4 4 9,7.89,90.9%,8.46,3.5,"9*4-4*3, (4-4/3)*9, (4+4)*9/3, (9-4/4)*3 "
568,4 5 7 8,7.89,95.5%,8.36,3.14,"8+7+5+4, (8+4)*(7-5), (7+5)*8/4, (8+5-7)*4 "
569,2 7 8 8,7.9,92.6%,8.27,3.26,"(8+2-7)*8, (7-8/2)*8, (8*7-8)/2 "
570,1 4 8 11,7.91,95.7%,8.37,2.93,"11+8+4+1, (11+1)*8/4 "
571,3 3 4 7,7.91,90.3%,8.39,3.63,"(7-3/3)*4, (7+4-3)*3 "
572,2 6 11 13,7.92,90%,8.1,3.48,"(13-11)*6*2, (13+2-11)*6 "
573,1 4 9 12,7.93,96.2%,8.55,3.36,"12+9+4-1, (9-1)*12/4, (9*4-12)*1 "
574,3 6 6 9,7.93,96.4%,8.47,3.12,"9+6+6+3, 9*6/3+6, 6*6-9-3, (9-6/6)*3 "
575,3 6 12 12,7.94,93.2%,8.5,3.62,"(6-3)*12-12, (12-6)*12/3, (6-12/3)*12, (12/12+3)*6 "
576,5 6 7 8,7.94,93.8%,8.4,3.18,"(7+5)*(8-6), (7+5-8)*6, 8*6/(7-5) "
577,5 6 10 10,7.94,86.6%,8.16,3.89,"(10+10)*6/5, (5-10/10)*6 "
578,2 4 4 11,7.95,84.7%,7.93,3.64,"(4/4+11)*2, (11*4+4)/2 "
579,8 8 8 12,7.95,88.2%,8.28,4.21,"(8+8)*12/8, (12-8)*8-8 "
580,2 2 9 11,7.96,91.6%,8.28,3.3,"11+9+2+2, 2*2+11+9 "
581,7 10 12 12,7.96,84.4%,8.03,4.03,"(10-7)*12-12, 12*10/(12-7) "
582,1 2 9 12,7.97,92.7%,8.51,3.86,12+9+2+1 
583,3 9 10 10,7.98,84.9%,7.9,3.56,(9-10/10)*3 
584,3 9 12 12,7.98,90.8%,8.51,3.71,"12*12/(9-3), 12*9/3-12, (9-12/12)*3 "
585,3 4 12 13,7.99,93.3%,8.63,3.79,13+12+3-4 
586,5 6 10 11,7.99,90.3%,8.33,3.6,"(10+5-11)*6, (11-5)*(10-6) "
587,1 4 4 10,8,92.3%,8.22,3.48,(10-4)*4*1 
588,1 5 6 10,8,91.9%,8.36,3.33,"(5+1)*(10-6), (10-5-1)*6 "
589,2 2 6 12,8.01,94.2%,8.58,3.56,"(12-6)*(2+2), (6-2-2)*12, (12-6)*2*2, (6-2*2)*12, (6-2)*12/2, (12/2-2)*6, (12/2+6)*2 "
590,3 5 8 11,8.01,89.5%,8.36,3.63,"(5+3)*(11-8), (11-5-3)*8, (11-3)*(8-5), (11+5-8)*3 "
591,5 8 8 9,8.01,87.2%,8.32,4.05,"9*8/(8-5), (9-5)*8-8 "
592,1 4 6 11,8.02,92.6%,8.35,3.24,"(11+1-6)*4, (11+1)*(6-4) "
593,2 4 6 10,8.02,94.1%,8.52,3.43,"(4+2)*(10-6), (10-4-2)*6, 4*2+10+6, (10+2-6)*4, (10-4)*(6-2), (10+2)*(6-4), (10+6-4)*2 "
594,2 2 4 8,8.03,95.9%,8.58,3.17,"(2+2)*4+8, 4*2*2+8, (4-2/2)*8, (4+2)*8/2, 8*2+4*2, (8+2)*2+4, (8*2-4)*2, (8/2+2)*4 "
595,2 7 7 11,8.03,86.3%,8.06,3.75,"(7-2)*7-11, (7/7+11)*2 "
596,3 12 12 12,8.03,90.9%,8.34,3.5,(3-12/12)*12 
597,3 6 10 10,8.04,85.7%,8.03,3.79,"(3-6/10)*10, (10/10+3)*6 "
598,5 6 6 6,8.04,87.4%,8.24,3.74,(5-6/6)*6 
599,1 2 5 9,8.05,95.3%,8.51,3.06,"(2+1)*5+9, 9*2+5+1, (9-1)*(5-2) "
600,6 6 9 12,8.05,91.9%,8.3,3.37,"12*6/(9-6), 12*9/6+6, (12-9)*6+6 "
601,10 12 13 13,8.05,94.6%,8.6,3.03,13+13+10-12 
602,1 2 6 9,8.06,94.6%,8.65,3.61,"(9-1)*6/2, (9*2+6)*1 "
603,2 2 3 3,8.07,93.4%,8.42,3.28,"(3+3)*(2+2), (3+3)*2*2, (3*2+2)*3 "
604,3 6 7 9,8.07,93.4%,8.56,3.59,"7*3+9-6, (7-9/3)*6, (9+6-7)*3, (9-6)*7+3 "
605,4 6 8 9,8.07,93.8%,8.59,3.56,"(9-8)*6*4, 9*8/4+6, (4-8/6)*9 "
606,6 6 10 12,8.07,93.6%,8.46,3.22,"(6+6)*(12-10), (6+6-10)*12, (10+6-12)*6, (12-6)*(10-6) "
607,8 10 13 13,8.07,92.6%,8.47,3.39,13+13+8-10 
608,2 3 3 6,8.08,96.4%,8.55,2.96,"6*3+3*2, 3*3*2+6, (3+3-2)*6, (3+3)*(6-2), (6+3+3)*2 "
609,3 4 7 9,8.08,93.6%,8.54,3.74,"(9-7)*4*3, 9*3+4-7, (7+4)*3-9, (7-4)*9-3 "
610,1 6 9 13,8.09,90.8%,8.42,4.07,(13-9)*6*1 
611,2 5 5 11,8.09,83.3%,7.94,3.62,"(5+2)*5-11, (5/5+11)*2 "
612,2 6 8 10,8.09,93.7%,8.55,3.58,"(10-8)*6*2, (10+2-8)*6, (8-2)*(10-6), (10+2)*(8-6), (10+8-6)*2, (10+6)*2-8, 8/(2-10/6) "
613,7 8 11 13,8.11,90.6%,8.65,3.9,"(13+11)*(8-7), (13-8)*7-11 "
614,1 4 4 9,8.12,94.2%,8.63,3.56,"(9+1-4)*4, 4*4+9-1 "
615,2 3 5 11,8.12,95.1%,8.62,3.31,"(11+5)*3/2, 5*2+11+3, (11+2-5)*3, (11-3)*(5-2), 11*2+5-3, 5*3+11-2, (5-3)*11+2 "
616,3 7 12 12,8.12,91.4%,8.56,3.63,"(12-7-3)*12, (12*7-12)/3, (12/12+7)*3 "
617,3 12 12 13,8.13,92.5%,8.55,3.35,(12+3-13)*12 
618,4 4 4 5,8.13,85.3%,8.17,4.02,(4/4+5)*4 
619,3 4 5 5,8.14,94%,8.85,3.82,"5*5+3-4, 5*3+5+4 "
620,3 7 10 11,8.16,90.8%,8.4,3.46,"(11-3)*(10-7), (11+7-10)*3 "
621,2 5 6 13,8.18,91.6%,8.59,3.66,"(13-5)*6/2, (13+5-6)*2 "
622,5 8 12 12,8.18,75.2%,7.25,4,(8-5)*12-12 
623,3 3 8 9,8.2,88.6%,8.57,4.01,"(9-3-3)*8, (8+3)*3-9, (8-3)*3+9 "
624,5 8 8 13,8.2,92.5%,8.58,3.72,13+8+8-5 
625,3 4 10 12,8.21,92.5%,8.61,3.59,"(12-10)*4*3, (4*3-10)*12, (10-4)*12/3, (10-12/3)*4, 12/(3-10/4) "
626,2 3 4 8,8.22,93%,9.03,4.22,"(8-4)*3*2, (4+2-3)*8, (8/2+4)*3 "
627,2 8 8 9,8.22,90.4%,8.57,3.46,(9+2-8)*8 
628,2 7 8 11,8.23,95%,8.81,3.58,"(7*2-11)*8, 11+8+7-2, (8-2)*(11-7), (11+8-7)*2 "
629,3 9 12 13,8.23,89.7%,8.73,4.06,"(12+9-13)*3, (13-9)*3+12 "
630,10 11 12 13,8.23,95.9%,8.85,3.56,13+12+10-11 
631,2 4 9 13,8.24,94%,8.64,3.53,"(4+2)*(13-9), 13+9+4-2, 4/2+13+9, (13+2-9)*4 "
632,4 5 8 9,8.26,89.3%,8.64,4.2,"(9+5-8)*4, (9-5)*4+8 "
633,4 7 9 12,8.26,94.8%,8.74,3.3,"(7+4-9)*12, 12+9+7-4, 12*4/(9-7) "
634,6 6 7 10,8.26,84.2%,8.31,4.38,(10-7)*6+6 
635,8 10 10 12,8.26,94.3%,8.72,3.45,12+10+10-8 
636,1 3 6 9,8.27,92.9%,8.78,3.43,"(3-1)*9+6, (6-1)*3+9, (9+1)*3-6, (9-1)*(6-3), (9/3+1)*6 "
637,1 8 11 13,8.27,88.3%,8.45,3.63,(13+1-11)*8 
638,2 5 6 7,8.27,92.6%,8.7,3.65,"(7+2-5)*6, 6*2+7+5, (7-5)*6*2 "
639,2 7 9 10,8.27,94.2%,8.71,3.26,"10+9+7-2, (10+2)*(9-7), (10+9-7)*2 "
640,1 3 6 13,8.28,92.2%,8.54,3.2,"(13+1-6)*3, (13-1)*6/3 "
641,4 5 10 11,8.28,88.1%,8.67,4.46,"10*4-11-5, (11+5-10)*4 "
642,4 8 8 9,8.28,92.3%,8.54,3.2,(8+4-9)*8 
643,4 8 9 10,8.28,89%,8.49,3.55,(9+4-10)*8 
644,6 7 8 10,8.28,91.3%,8.72,3.7,"(7+6-10)*8, 7*6-10-8, (8-6)*7+10 "
645,3 7 8 12,8.29,95.1%,8.81,3.28,"(7+3-8)*12, 12+8+7-3, 12*8/(7-3), (7-12/3)*8 "
646,4 4 6 12,8.31,94.3%,9,3.9,"(4+4-6)*12, (12-4-4)*6, (4*4-12)*6, 12*4-6*4, 12*4/(6-4), (12+4)*6/4, (12/6+4)*4 "
647,1 5 5 13,8.32,93.1%,8.53,3.27,13+5+5+1 
648,3 5 8 8,8.32,92.2%,8.77,3.98,"8+8+5+3, (5-3)*8+8 "
649,4 10 12 12,8.32,92.5%,8.81,3.55,"(10+4-12)*12, 12*12/(10-4), 12*4/(12-10) "
650,1 6 11 12,8.33,88.8%,8.34,2.98,(11+1)*12/6 
651,3 6 9 10,8.33,92.6%,8.73,3.67,"(10+3-9)*6, (9-3)*(10-6), 10*9/3-6, 9*6-10*3, (6-10/3)*9 "
652,4 6 8 12,8.34,94.1%,9,3.61,"(6+4-8)*12, 8*6/4+12, (8+4)*12/6, (12-6)*(8-4), 12*4/(8-6), (6-12/4)*8, (8-12/6)*4 "
653,2 2 3 7,8.35,88.3%,8.63,3.87,"(2/2+7)*3, (7+3+2)*2 "
654,2 4 8 11,8.35,93%,8.68,3.68,"(11-8)*4*2, (11-4*2)*8, 11*2+8/4, 11*8/4+2 "
655,4 5 9 10,8.36,90.3%,8.7,3.74,"(10-4)*(9-5), (10+5-9)*4 "
656,1 4 9 11,8.39,94.4%,9.02,3.77,"(4-1)*11-9, 9*4-11-1, (11+9+4)*1 "
657,9 10 12 13,8.39,93.5%,8.95,3.66,13+12+9-10 
658,2 2 6 10,8.4,95.6%,8.84,3.09,"6*2+10+2, 10*2+6-2, (10-2)*6/2 "
659,3 5 6 6,8.4,92.2%,8.91,3.67,"(6+3-5)*6, (6+6)*(5-3) "
660,4 4 10 12,8.4,90.9%,8.8,4.03,"(10-4-4)*12, 10*4-12-4, (12+4-10)*4 "
661,1 5 9 10,8.42,93.1%,8.95,3.96,(10+9+5)*1 
662,2 4 8 12,8.42,94.1%,9.16,4.35,"(4+2)*(12-8), (8-4-2)*12, 8*2+12-4, (12+2-8)*4, (8-4)*12/2, (12+4)*2-8, (12-4)*2+8 "
663,2 7 11 12,8.42,91.4%,8.79,3.53,"(11-7-2)*12, (11-7)*12/2, 12/2+11+7, (11+7)*2-12 "
664,1 2 8 9,8.43,93.5%,9,3.49,"9*8/(2+1), 8*2+9-1, (9-1)*2+8 "
665,1 3 4 13,8.44,94.5%,8.95,3.71,"(13-4-1)*3, 4*3+13-1 "
666,2 2 4 11,8.44,92%,8.87,3.77,"11*2+4-2, (4-2)*11+2, 11*4/2+2, 11*2+4/2 "
667,8 11 12 12,8.46,76.9%,7.66,3.91,(11-8)*12-12 
668,2 8 9 10,8.47,88.5%,8.65,3.91,"(10+2-9)*8, (9+8)*2-10 "
669,6 6 7 9,8.47,90.7%,8.83,3.72,"(6+6)*(9-7), (7+6-9)*6 "
670,1 3 4 9,8.48,94.7%,8.98,3.83,"(4+1)*3+9, (9-3)*4*1, 9*3+1-4, (4-1)*9-3 "
671,1 3 12 12,8.49,85.8%,8.81,4.86,(12*3-12)*1 
672,2 4 8 8,8.49,93.8%,9.08,4.19,"4*2+8+8, (4-2)*8+8, 8*4/2+8, (8-2)*(8-4), (8+8-4)*2 "
673,5 5 8 9,8.49,90%,8.98,4.06,"5*5+8-9, (8-5)*5+9 "
674,6 8 8 10,8.49,90.9%,9.03,4.2,"8*6/(10-8), (10+8)*8/6, (10-6)*8-8 "
675,1 4 5 11,8.5,90.9%,8.79,4.09,(11-5)*4*1 
676,1 2 2 7,8.52,91.9%,8.86,3.39,"(7-1)*(2+2), (7-1)*2*2 "
677,3 4 7 10,8.52,93.3%,8.82,3.52,"10+7+4+3, (10+3-7)*4, (10-4)*(7-3) "
678,5 8 9 11,8.53,89.8%,8.84,3.9,"(8-5)*11-9, (9+5-11)*8, (11-8)*5+9 "
679,2 8 9 13,8.54,89.9%,8.73,3.74,"(8-2)*(13-9), (13+8-9)*2, 9/(2-13/8) "
680,3 4 9 11,8.54,89.7%,8.69,4.15,"(11-9)*4*3, (11*9-3)/4 "
681,3 6 8 9,8.54,93.7%,8.93,3.18,"9*8/(6-3), (9+3-8)*6, (9+3)*(8-6), (6-9/3)*8 "
682,5 6 9 10,8.55,90.8%,8.98,3.89,"(9+5-10)*6, 10*9/5+6 "
683,5 8 11 13,8.56,88.5%,8.65,3.57,"(11+5-13)*8, (13-5)*(11-8) "
684,2 4 4 4,8.58,94.8%,9.03,3.3,"4*4+4*2, (4+4-2)*4, (4/2+4)*4, (4+4+4)*2, (4*4-4)*2 "
685,2 5 10 11,8.61,94.2%,9.14,3.67,"11+10+5-2, 11*2+10/5, 11*10/5+2 "
686,1 6 12 13,8.62,89.4%,8.75,3.41,(13-1)*12/6 
687,5 6 10 13,8.63,91.3%,9.36,4.39,13+10+6-5 
688,1 2 6 13,8.64,91.2%,9.15,4.04,6*2+13-1 
689,1 2 3 3,8.65,95.7%,9.01,3,(3+1)*3*2 
690,2 8 8 11,8.65,83.8%,8.32,3.68,(8/8+11)*2 
691,4 4 8 11,8.65,86.6%,8.6,3.84,"(4+4)*(11-8), (11-4-4)*8 "
692,2 4 7 10,8.66,91.4%,8.94,3.93,"(10-7)*4*2, (4-2)*7+10, 7*4/2+10, (10-2)*(7-4) "
693,4 7 8 9,8.66,91.9%,9.06,3.85,"9*8/(7-4), (8+4)*(9-7), (8+7-9)*4 "
694,2 10 11 13,8.67,89.9%,8.78,3.51,"(10+2)*(13-11), (13+10-11)*2 "
695,1 1 7 10,8.68,84.9%,8.65,4.5,(1+1)*7+10 
696,2 3 10 13,8.68,93.7%,9.17,3.99,"13+10+3-2, (13-10/2)*3 "
697,3 4 5 10,8.68,90.5%,9.06,4.17,"10*4*3/5, (5-3)*10+4 "
698,2 6 6 10,8.69,94.2%,9.14,3.63,"10+6+6+2, 10*6/2-6, 6*6-10-2 "
699,2 9 12 13,8.69,90.9%,9.08,3.89,"(13-9-2)*12, (13-9)*12/2 "
700,2 3 3 7,8.7,92.1%,9.03,3.68,"(7-3)*3*2, (7+3-2)*3, (7+2)*3-3 "
701,6 6 8 9,8.7,90.2%,9.01,3.66,"(6+6-9)*8, (8-6)*9+6 "
702,3 3 7 11,8.71,92.2%,9.02,3.66,"11+7+3+3, (3+3)*(11-7) "
703,3 11 12 12,8.71,91.4%,9.1,3.52,(11+3-12)*12 
704,2 4 6 6,8.72,94.1%,9.4,3.94,"(6+2-4)*6, (6+6)*(4-2), (6+6)*4/2, (6-4/2)*6, (6-4)*6*2, (6*2-6)*4 "
705,6 8 10 13,8.72,86.7%,8.84,3.93,(10+6-13)*8 
706,1 4 9 10,8.73,93.6%,9.13,3.73,10+9+4+1 
707,3 3 8 12,8.73,91.6%,9.24,4.01,"(3+3)*(12-8), (8-3-3)*12, (12-3*3)*8, (12-3)*8/3 "
708,2 9 10 11,8.74,88.8%,8.69,3.45,"(10+2)*(11-9), (11+10-9)*2 "
709,2 4 7 11,8.75,92.7%,9.13,3.87,"11+7+4+2, (4+2)*(11-7), (11+2-7)*4 "
710,5 5 8 8,8.76,84.8%,8.77,4.14,5*5-8/8 
711,1 6 10 13,8.77,88.1%,8.98,4.27,(13+1-10)*6 
712,2 4 6 9,8.78,92.1%,9.25,4.19,"(9-6)*4*2, (4-2)*9+6, 9*4/2+6, 9*4-6*2, (9-6/2)*4, (4/6+2)*9, 6/(9/4-2) "
713,1 3 4 10,8.79,93.2%,9.09,3.51,"(10-4)*(3+1), (10-3-1)*4, (3-1)*10+4 "
714,2 8 11 12,8.79,88.4%,9.02,4.31,(12+2-11)*8 
715,2 2 3 13,8.8,87.7%,8.87,3.8,(13+2-3)*2 
716,4 4 4 9,8.8,87.8%,8.79,4.15,(9-4)*4+4 
717,2 2 4 13,8.82,91%,9.3,4.22,"13*2+2-4, (4-2)*13-2, 13*4/2-2, 13*2-4/2 "
718,3 6 7 12,8.82,90.3%,9.12,3.97,"(6+3-7)*12, (12-6)*(7-3) "
719,1 2 3 11,8.83,95.6%,9.21,3.42,"(11-3)*(2+1), (11-2-1)*3, 11*2+3-1, (3-1)*11+2 "
720,1 2 5 13,8.83,94.5%,9.3,3.64,"(13-5)*(2+1), 5*2+13+1 "
721,3 7 7 13,8.83,93.5%,9.17,3.24,"13+7+7-3, (13-7)*(7-3) "
722,4 4 7 12,8.83,89.5%,9.14,4.28,"(12-4)*(7-4), (7-4)*4+12, (12-7)*4+4 "
723,4 5 8 12,8.84,93.5%,9.36,3.83,"(12-5-4)*8, 5*4+12-8, 8*5-12-4, (12-4)*(8-5), (8-5)*4+12, (12-8)*5+4 "
724,1 2 7 8,8.85,94.8%,9.32,3.6,"8*2+7+1, (7+1)*2+8, (7-1)*8/2 "
725,2 2 8 10,8.87,94.6%,9.4,3.33,"8*2+10-2, 10*2+8/2, (10*2-8)*2, (10-2)*2+8, (10/2-2)*8 "
726,4 4 4 11,8.87,86.2%,9,4.64,(11-4)*4-4 
727,4 6 10 12,8.88,93.9%,9.43,4.06,"12+10+6-4, (10-4)*6-12, 12*10/4-6, 12*10/6+4 "
728,2 3 5 9,8.9,92.2%,9.5,4.38,"(9-5)*3*2, 9*3+2-5, (5-2)*9-3, (9*5+3)/2 "
729,4 5 8 8,8.9,87%,9.04,4.22,"(5-8/4)*8, (8/8+5)*4 "
730,1 3 9 13,8.92,93.6%,9.52,4.19,13+9+3-1 
731,6 8 8 11,8.93,87%,9.09,4.15,(8+6-11)*8 
732,4 5 6 7,8.96,89.7%,9.33,4.08,"(7+5)*(6-4), (7+5-6)*4 "
733,1 3 4 7,8.97,95.1%,9.77,3.98,"7*4-3-1, (3+1)*7-4, 7*3+4-1, (4-1)*7+3 "
734,1 11 13 13,8.97,91.1%,9.24,3.92,"(13-1)*(13-11), (11/13+1)*13 "
735,2 4 10 13,8.97,89.2%,9.35,4.55,"(13-10)*4*2, (13+4)*2-10 "
736,5 5 9 10,8.97,86.9%,9.36,4.52,5*5+9-10 
737,6 6 9 11,8.97,88.8%,9.31,4.23,"(6+6)*(11-9), (9+6-11)*6 "
738,6 8 9 13,8.97,94%,9.55,3.96,"13+9+8-6, (9+8-13)*6 "
739,9 10 11 13,8.97,89.9%,9.27,3.91,"(13+11)*(10-9), (13-10)*11-9 "
740,2 4 9 9,8.98,90.2%,9.15,3.97,9+9+4+2 
741,2 9 10 13,8.99,90%,9.46,4.19,"10*2+13-9, (13+9-10)*2 "
742,4 8 9 11,8.99,92.8%,9.45,3.94,"(8+4)*(11-9), 11+9+8-4, (9+8-11)*4 "
743,1 2 9 13,9,93.2%,9.53,4.21,(13+9+2)*1 
744,3 9 9 10,9,86.7%,9,3.9,(9+9-10)*3 
745,3 4 7 7,9.01,94.3%,9.63,3.84,"7*3+7-4, 7*4+3-7, (7-3)*7-4, (7-4)*7+3 "
746,2 5 7 10,9.03,92%,9.35,3.76,"10+7+5+2, (10+2)*(7-5), (10+7-5)*2 "
747,2 3 7 11,9.04,92.3%,9.4,4.27,"(3+2)*7-11, 3*2+11+7, (11-7)*3*2, 11*3-7-2 "
748,4 11 12 13,9.04,91.3%,9.42,3.91,"(11+4-13)*12, 12*4-13-11, 12*4/(13-11) "
749,2 6 7 8,9.05,89.4%,9.32,4.09,"(7+2-6)*8, (8+7)*2-6 "
750,3 10 11 12,9.06,89.3%,9.22,3.77,(10+3-11)*12 
751,1 4 6 7,9.07,87%,9.21,4.77,"(7+1-4)*6, 4/(7/6-1) "
752,7 8 8 11,9.07,81%,8.5,4.57,(11-7)*8-8 
753,7 8 10 13,9.07,92.3%,9.58,4.17,13+10+8-7 
754,2 8 9 11,9.08,90.7%,9.5,4.04,"8/2+11+9, (11+9-8)*2 "
755,4 4 6 11,9.08,86.5%,9.06,4.64,(11-6)*4+4 
756,1 4 5 10,9.11,91.3%,9.27,3.7,"(10+1-5)*4, (10-4)*(5-1) "
757,4 8 8 12,9.11,94.2%,9.63,3.92,"12+8+8-4, 12*8/(8-4), (12-8)*4+8 "
758,1 2 4 5,9.12,90.6%,9.5,4.26,"(5+2-1)*4, (4+2)*(5-1) "
759,1 1 3 10,9.13,88.5%,9.15,3.93,(10-1-1)*3 
760,3 5 9 12,9.14,89.9%,9.42,4.09,"(5+3)*(12-9), (5-9/3)*12, (12+5-9)*3, (9-5)*3+12 "
761,1 5 5 9,9.15,88.6%,9.29,3.79,(5+1)*(9-5) 
762,1 5 6 8,9.17,90.5%,9.34,3.98,(8+1-5)*6 
763,1 2 6 11,9.18,89.8%,9.54,4.41,6*2+11+1 
764,2 3 4 13,9.18,91.2%,9.57,4.09,"4*2+13+3, (13+3-4)*2, (13-3)*2+4 "
765,4 5 5 9,9.18,91.6%,9.55,3.96,"5*4+9-5, (9-5)*5+4 "
766,3 5 6 9,9.2,92.8%,9.62,3.82,"(5+3)*(9-6), (5-3)*9+6, (6-3)*5+9, 6*5+3-9, (9-3)*5-6, (6+5)*3-9, (9+5-6)*3 "
767,4 4 8 10,9.2,91%,9.55,4.56,"(10+4-8)*4, (10-4)*(8-4), 10*8/4+4 "
768,5 5 6 7,9.2,91%,9.65,4.17,"5*5+6-7, 7*5-6-5 "
769,1 3 3 10,9.21,90.1%,9.32,4.15,"(10+1-3)*3, (10-1)*3-3 "
770,1 5 9 11,9.21,93.1%,9.71,3.99,11+9+5-1 
771,2 9 11 11,9.21,89.3%,9.46,4.13,"11*2+11-9, (11-9)*11+2 "
772,3 7 10 13,9.21,88.1%,9.67,4.89,"7*3+13-10, 10*3+7-13, (13-10)*7+3 "
773,1 4 6 9,9.22,86.2%,9.14,4.25,(9-4-1)*6 
774,2 2 3 6,9.22,91.8%,9.54,4.21,"(2/2+3)*6, (6-2)*3*2, (3*2-2)*6, (3*2+6)*2 "
775,2 2 5 6,9.22,88.6%,9.51,4.56,"(5-2/2)*6, (6+2)*(5-2), (6+5)*2+2 "
776,2 3 9 9,9.22,91%,9.64,4,"3*2+9+9, (9+2)*3-9, 9*2+9-3, (9/3+9)*2 "
777,4 7 10 10,9.22,83.8%,8.97,4.23,(7-10/10)*4 
778,2 5 8 13,9.23,93.1%,9.71,3.95,"(13-5*2)*8, 13+8+5-2, 8*2+13-5, (13+2)*8/5, (13-5)*2+8 "
779,6 6 8 10,9.23,90.4%,9.47,4.23,"(6+6)*(10-8), (8+6-10)*6 "
780,3 4 4 5,9.24,91.3%,9.66,4.25,"(5+4-3)*4, 4*4+5+3 "
781,1 2 4 9,9.25,91%,9.68,4.08,"(9-2-1)*4, (9+4-1)*2, (9+1)*2+4 "
782,2 2 5 7,9.26,89.2%,9.29,3.74,7*2+5*2 
783,3 5 6 7,9.26,89.7%,9.31,3.9,"(7+5)*6/3, (7+6-5)*3 "
784,1 3 5 10,9.27,93.2%,9.77,3.9,"10*3-5-1, 5*3+10-1 "
785,4 12 12 12,9.27,86.5%,9.6,4.94,"12*4-12-12, 12*12/4-12 "
786,5 7 8 8,9.27,82.4%,8.86,4.86,"(7-5)*8+8, (8+7)*8/5 "
787,6 8 12 12,9.27,91.4%,9.9,4.38,"(8+6-12)*12, 8*6-12-12, 12*8-12*6, (12-6)*(12-8), 12*12/8+6 "
788,6 6 8 11,9.28,82.9%,8.92,4.71,(11-8)*6+6 
789,1 3 8 8,9.29,86.9%,9.4,4.56,"(3+1)*8-8, (3-1)*8+8, (8+1)*8/3 "
790,5 6 6 10,9.29,89%,9.43,4.04,"(10-5)*6-6, (6+6)*10/5, (6-10/5)*6 "
791,2 11 12 13,9.31,89.6%,9.69,4.18,"(13+11-12)*2, (13+11)/2+12 "
792,3 9 10 12,9.32,90.1%,9.55,3.83,"(9+3)*(12-10), (9+3-10)*12 "
793,2 5 8 9,9.34,92.8%,9.69,3.83,"9+8+5+2, 9*8/(5-2), (8-2)*(9-5), (9+8-5)*2 "
794,2 8 8 10,9.34,93%,9.62,3.85,"10+8+8-2, (8-10/2)*8 "
795,5 10 10 12,9.34,87.3%,9.28,3.69,"12*10/(10-5), 10/5+12+10 "
796,4 5 10 13,9.35,91.5%,9.91,4.53,13+10+5-4 
797,4 4 9 11,9.36,82%,8.96,4.83,(11+4-9)*4 
798,4 5 9 13,9.36,89.1%,9.92,5.08,"5*4+13-9, (13-9)*5+4 "
